config,seqno,query,duration
"trenz1-mo3-2017-07-25",1,"q03",80.652000
"trenz1-mo3-2017-07-25",2,"q14",221.908000
"trenz1-mo3-2017-07-25",3,"q11",41.250000
"trenz1-mo3-2017-07-25",4,"q13",14.068000
"trenz1-mo3-2017-07-25",5,"q04",25.154000
"trenz1-mo3-2017-07-25",6,"q18",90.855000
"trenz1-mo3-2017-07-25",7,"q05",57.199000
"trenz1-mo3-2017-07-25",8,"q08",867.536000
"trenz1-mo3-2017-07-25",9,"q02",681.032000
"trenz1-mo3-2017-07-25",10,"q06",104.181000
"trenz1-mo3-2017-07-25",11,"q12",83.562000
"trenz1-mo3-2017-07-25",12,"q16",183.149000
"trenz1-mo3-2017-07-25",13,"q15",41.706000
"trenz1-mo3-2017-07-25",14,"q01",111.813000
"trenz1-mo3-2017-07-25",15,"q16",185.203000
"trenz1-mo3-2017-07-25",16,"q03",66.989000
"trenz1-mo3-2017-07-25",17,"q14",223.619000
"trenz1-mo3-2017-07-25",18,"q05",55.201000
"trenz1-mo3-2017-07-25",19,"q18",79.422000
"trenz1-mo3-2017-07-25",20,"q04",18.997000
"trenz1-mo3-2017-07-25",21,"q11",29.719000
"trenz1-mo3-2017-07-25",22,"q15",41.848000
"trenz1-mo3-2017-07-25",23,"q08",885.807000
"trenz1-mo3-2017-07-25",24,"q06",117.193000
"trenz1-mo3-2017-07-25",25,"q01",121.995000
"trenz1-mo3-2017-07-25",26,"q13",13.369000
"trenz1-mo3-2017-07-25",27,"q02",678.332000
"trenz1-mo3-2017-07-25",28,"q12",96.818000
"trenz1-mo3-2017-07-25",29,"q06",97.582000
"trenz1-mo3-2017-07-25",30,"q12",82.852000
"trenz1-mo3-2017-07-25",31,"q03",66.891000
"trenz1-mo3-2017-07-25",32,"q08",869.137000
"trenz1-mo3-2017-07-25",33,"q16",203.656000
"trenz1-mo3-2017-07-25",34,"q05",54.070000
"trenz1-mo3-2017-07-25",35,"q04",20.696000
"trenz1-mo3-2017-07-25",36,"q14",231.343000
"trenz1-mo3-2017-07-25",37,"q02",679.096000
"trenz1-mo3-2017-07-25",38,"q18",84.858000
