config,seqno,query,duration
"trenz1bee-3mo-2017-07-26",1,"q03",81.877000
"trenz1bee-3mo-2017-07-26",2,"q14",229.002000
"trenz1bee-3mo-2017-07-26",3,"q11",144.932000
"trenz1bee-3mo-2017-07-26",4,"q13",37.362000
"trenz1bee-3mo-2017-07-26",5,"q04",36.963000
"trenz1bee-3mo-2017-07-26",6,"q18",100.782000
"trenz1bee-3mo-2017-07-26",7,"q05",87.366000
"trenz1bee-3mo-2017-07-26",8,"q08",902.971000
"trenz1bee-3mo-2017-07-26",9,"q02",693.214000
"trenz1bee-3mo-2017-07-26",10,"q06",263.732000
"trenz1bee-3mo-2017-07-26",11,"q12",161.266000
"trenz1bee-3mo-2017-07-26",12,"q16",243.724000
"trenz1bee-3mo-2017-07-26",13,"q15",111.268000
"trenz1bee-3mo-2017-07-26",14,"q01",164.288000
"trenz1bee-3mo-2017-07-26",15,"q16",272.679000
"trenz1bee-3mo-2017-07-26",16,"q03",84.707000
"trenz1bee-3mo-2017-07-26",17,"q14",232.013000
"trenz1bee-3mo-2017-07-26",18,"q05",76.805000
"trenz1bee-3mo-2017-07-26",19,"q18",101.876000
"trenz1bee-3mo-2017-07-26",20,"q04",30.737000
"trenz1bee-3mo-2017-07-26",21,"q11",152.585000
"trenz1bee-3mo-2017-07-26",22,"q15",112.852000
"trenz1bee-3mo-2017-07-26",23,"q08",917.222000
"trenz1bee-3mo-2017-07-26",24,"q06",217.968000
"trenz1bee-3mo-2017-07-26",25,"q01",186.021000
"trenz1bee-3mo-2017-07-26",26,"q13",36.619000
"trenz1bee-3mo-2017-07-26",27,"q02",698.156000
"trenz1bee-3mo-2017-07-26",28,"q12",146.012000
"trenz1bee-3mo-2017-07-26",29,"q06",274.948000
"trenz1bee-3mo-2017-07-26",30,"q12",155.201000
"trenz1bee-3mo-2017-07-26",31,"q03",145.726000
"trenz1bee-3mo-2017-07-26",32,"q08",947.804000
"trenz1bee-3mo-2017-07-26",33,"q16",413.303000
"trenz1bee-3mo-2017-07-26",34,"q05",130.477000
"trenz1bee-3mo-2017-07-26",35,"q04",67.750000
"trenz1bee-3mo-2017-07-26",36,"q14",268.558000
"trenz1bee-3mo-2017-07-26",37,"q02",692.944000
"trenz1bee-3mo-2017-07-26",38,"q18",217.977000
"trenz1bee-3mo-2017-07-26",39,"q13",42.880000
"trenz1bee-3mo-2017-07-26",40,"q01",173.848000
"trenz1bee-3mo-2017-07-26",41,"q15",123.372000
"trenz1bee-3mo-2017-07-26",42,"q11",151.033000
"trenz1bee-3mo-2017-07-26",43,"q16",250.712000
"trenz1bee-3mo-2017-07-26",44,"q15",114.290000
"trenz1bee-3mo-2017-07-26",45,"q02",704.215000
"trenz1bee-3mo-2017-07-26",46,"q01",168.037000
"trenz1bee-3mo-2017-07-26",47,"q14",237.650000
"trenz1bee-3mo-2017-07-26",48,"q08",922.431000
"trenz1bee-3mo-2017-07-26",49,"q12",145.845000
"trenz1bee-3mo-2017-07-26",50,"q04",32.126000
"trenz1bee-3mo-2017-07-26",51,"q13",35.879000
"trenz1bee-3mo-2017-07-26",52,"q03",86.851000
"trenz1bee-3mo-2017-07-26",53,"q11",147.883000
"trenz1bee-3mo-2017-07-26",54,"q05",78.119000
"trenz1bee-3mo-2017-07-26",55,"q06",313.521000
"trenz1bee-3mo-2017-07-26",56,"q18",92.895000
"trenz1bee-3mo-2017-07-26",57,"q16",253.676000
"trenz1bee-3mo-2017-07-26",58,"q04",34.794000
"trenz1bee-3mo-2017-07-26",59,"q03",87.509000
"trenz1bee-3mo-2017-07-26",60,"q05",78.252000
"trenz1bee-3mo-2017-07-26",61,"q02",694.821000
"trenz1bee-3mo-2017-07-26",62,"q13",36.476000
"trenz1bee-3mo-2017-07-26",63,"q01",188.976000
"trenz1bee-3mo-2017-07-26",64,"q08",915.150000
"trenz1bee-3mo-2017-07-26",65,"q06",243.451000
"trenz1bee-3mo-2017-07-26",66,"q18",101.532000
"trenz1bee-3mo-2017-07-26",67,"q11",149.740000
"trenz1bee-3mo-2017-07-26",68,"q12",140.006000
"trenz1bee-3mo-2017-07-26",69,"q14",233.001000
"trenz1bee-3mo-2017-07-26",70,"q15",111.944000
"trenz1bee-3mo-2017-07-26",71,"q13",36.632000
"trenz1bee-3mo-2017-07-26",72,"q14",237.232000
"trenz1bee-3mo-2017-07-26",73,"q11",147.849000
"trenz1bee-3mo-2017-07-26",74,"q16",283.261000
"trenz1bee-3mo-2017-07-26",75,"q18",98.433000
"trenz1bee-3mo-2017-07-26",76,"q05",80.741000
"trenz1bee-3mo-2017-07-26",77,"q12",127.144000
"trenz1bee-3mo-2017-07-26",78,"q06",261.019000
"trenz1bee-3mo-2017-07-26",79,"q04",30.516000
"trenz1bee-3mo-2017-07-26",80,"q03",80.967000
"trenz1bee-3mo-2017-07-26",81,"q15",113.174000
"trenz1bee-3mo-2017-07-26",82,"q02",692.577000
"trenz1bee-3mo-2017-07-26",83,"q08",928.789000
"trenz1bee-3mo-2017-07-26",84,"q01",172.049000
"trenz1bee-3mo-2017-07-26",85,"q13",36.263000
"trenz1bee-3mo-2017-07-26",86,"q11",149.088000
"trenz1bee-3mo-2017-07-26",87,"q12",140.053000
"trenz1bee-3mo-2017-07-26",88,"q04",32.441000
"trenz1bee-3mo-2017-07-26",89,"q06",263.992000
"trenz1bee-3mo-2017-07-26",90,"q18",103.106000
"trenz1bee-3mo-2017-07-26",91,"q14",227.605000
"trenz1bee-3mo-2017-07-26",92,"q03",83.634000
"trenz1bee-3mo-2017-07-26",93,"q16",263.051000
"trenz1bee-3mo-2017-07-26",94,"q05",68.328000
"trenz1bee-3mo-2017-07-26",95,"q02",698.840000
"trenz1bee-3mo-2017-07-26",96,"q01",147.433000
"trenz1bee-3mo-2017-07-26",97,"q15",110.861000
"trenz1bee-3mo-2017-07-26",98,"q08",917.359000
"trenz1bee-3mo-2017-07-26",99,"q15",110.512000
"trenz1bee-3mo-2017-07-26",100,"q11",146.854000
"trenz1bee-3mo-2017-07-26",101,"q08",918.666000
"trenz1bee-3mo-2017-07-26",102,"q14",241.480000
"trenz1bee-3mo-2017-07-26",103,"q04",33.321000
"trenz1bee-3mo-2017-07-26",104,"q12",158.150000
"trenz1bee-3mo-2017-07-26",105,"q06",455.198000
"trenz1bee-3mo-2017-07-26",106,"q13",35.535000
"trenz1bee-3mo-2017-07-26",107,"q01",159.392000
"trenz1bee-3mo-2017-07-26",108,"q05",82.037000
"trenz1bee-3mo-2017-07-26",109,"q02",687.431000
"trenz1bee-3mo-2017-07-26",110,"q03",81.386000
"trenz1bee-3mo-2017-07-26",111,"q18",98.871000
"trenz1bee-3mo-2017-07-26",112,"q16",277.902000
"trenz1bee-3mo-2017-07-26",113,"q12",143.532000
"trenz1bee-3mo-2017-07-26",114,"q06",445.173000
"trenz1bee-3mo-2017-07-26",115,"q13",35.501000
"trenz1bee-3mo-2017-07-26",116,"q02",699.580000
"trenz1bee-3mo-2017-07-26",117,"q18",98.068000
"trenz1bee-3mo-2017-07-26",118,"q03",85.269000
"trenz1bee-3mo-2017-07-26",119,"q04",39.428000
"trenz1bee-3mo-2017-07-26",120,"q16",271.515000
"trenz1bee-3mo-2017-07-26",121,"q15",116.824000
"trenz1bee-3mo-2017-07-26",122,"q01",152.541000
"trenz1bee-3mo-2017-07-26",123,"q14",226.735000
"trenz1bee-3mo-2017-07-26",124,"q05",74.793000
