config,seqno,query,duration
"trenz4-3mo-2017-07-25",1,"q03",255.148000
"trenz4-3mo-2017-07-25",2,"q14",4416.356000
"trenz4-3mo-2017-07-25",3,"q11",127.034000
"trenz4-3mo-2017-07-25",4,"q13",40.885000
"trenz4-3mo-2017-07-25",5,"q04",244.352000
"trenz4-3mo-2017-07-25",6,"q18",109.212000
"trenz4-3mo-2017-07-25",7,"q05",489.478000
"trenz4-3mo-2017-07-25",8,"q08",12899.128000
"trenz4-3mo-2017-07-25",9,"q02",44802.693000
"trenz4-3mo-2017-07-25",10,"q06",599.308000
"trenz4-3mo-2017-07-25",11,"q12",110.657000
"trenz4-3mo-2017-07-25",12,"q16",563.381000
"trenz4-3mo-2017-07-25",13,"q15",777.214000
"trenz4-3mo-2017-07-25",14,"q01",140.514000
"trenz4-3mo-2017-07-25",15,"q16",221.274000
"trenz4-3mo-2017-07-25",16,"q03",245.658000
"trenz4-3mo-2017-07-25",17,"q14",4329.745000
"trenz4-3mo-2017-07-25",18,"q05",488.404000
"trenz4-3mo-2017-07-25",19,"q18",155.552000
"trenz4-3mo-2017-07-25",20,"q04",250.119000
"trenz4-3mo-2017-07-25",21,"q11",89.766000
"trenz4-3mo-2017-07-25",22,"q15",695.070000
"trenz4-3mo-2017-07-25",23,"q08",13917.017000
"trenz4-3mo-2017-07-25",24,"q06",138.251000
"trenz4-3mo-2017-07-25",25,"q01",145.749000
"trenz4-3mo-2017-07-25",26,"q13",247.649000
"trenz4-3mo-2017-07-25",27,"q02",44423.618000
"trenz4-3mo-2017-07-25",28,"q12",509.702000
"trenz4-3mo-2017-07-25",29,"q06",531.770000
"trenz4-3mo-2017-07-25",30,"q12",276.869000
"trenz4-3mo-2017-07-25",31,"q03",269.623000
"trenz4-3mo-2017-07-25",32,"q08",13579.561000
"trenz4-3mo-2017-07-25",33,"q16",238.187000
"trenz4-3mo-2017-07-25",34,"q05",107.816000
"trenz4-3mo-2017-07-25",35,"q04",88.857000
"trenz4-3mo-2017-07-25",36,"q14",4433.816000
"trenz4-3mo-2017-07-25",37,"q02",44289.016000
"trenz4-3mo-2017-07-25",38,"q18",114.893000
"trenz4-3mo-2017-07-25",39,"q13",252.050000
"trenz4-3mo-2017-07-25",40,"q01",459.487000
"trenz4-3mo-2017-07-25",41,"q15",768.387000
"trenz4-3mo-2017-07-25",42,"q11",79.531000
"trenz4-3mo-2017-07-25",43,"q16",1201.590000
"trenz4-3mo-2017-07-25",44,"q15",758.279000
"trenz4-3mo-2017-07-25",45,"q02",44819.785000
"trenz4-3mo-2017-07-25",46,"q01",343.833000
"trenz4-3mo-2017-07-25",47,"q14",4456.160000
"trenz4-3mo-2017-07-25",48,"q08",13151.495000
"trenz4-3mo-2017-07-25",49,"q12",294.698000
"trenz4-3mo-2017-07-25",50,"q04",464.969000
"trenz4-3mo-2017-07-25",51,"q13",62.821000
"trenz4-3mo-2017-07-25",52,"q03",260.868000
"trenz4-3mo-2017-07-25",53,"q11",87.179000
"trenz4-3mo-2017-07-25",54,"q05",294.142000
"trenz4-3mo-2017-07-25",55,"q06",127.486000
"trenz4-3mo-2017-07-25",56,"q18",118.746000
"trenz4-3mo-2017-07-25",57,"q16",171.456000
"trenz4-3mo-2017-07-25",58,"q04",242.660000
"trenz4-3mo-2017-07-25",59,"q03",401.649000
"trenz4-3mo-2017-07-25",60,"q05",288.564000
"trenz4-3mo-2017-07-25",61,"q02",44250.046000
"trenz4-3mo-2017-07-25",62,"q13",741.316000
"trenz4-3mo-2017-07-25",63,"q01",362.237000
"trenz4-3mo-2017-07-25",64,"q08",13222.385000
"trenz4-3mo-2017-07-25",65,"q06",118.550000
"trenz4-3mo-2017-07-25",66,"q18",123.040000
"trenz4-3mo-2017-07-25",67,"q11",90.599000
"trenz4-3mo-2017-07-25",68,"q12",296.624000
"trenz4-3mo-2017-07-25",69,"q14",4515.800000
"trenz4-3mo-2017-07-25",70,"q15",738.342000
"trenz4-3mo-2017-07-25",71,"q13",65.487000
"trenz4-3mo-2017-07-25",72,"q14",4339.844000
"trenz4-3mo-2017-07-25",73,"q11",136.035000
"trenz4-3mo-2017-07-25",74,"q16",431.528000
"trenz4-3mo-2017-07-25",75,"q18",268.187000
"trenz4-3mo-2017-07-25",76,"q05",95.018000
"trenz4-3mo-2017-07-25",77,"q12",111.762000
"trenz4-3mo-2017-07-25",78,"q06",123.869000
"trenz4-3mo-2017-07-25",79,"q04",275.490000
"trenz4-3mo-2017-07-25",80,"q03",55.052000
"trenz4-3mo-2017-07-25",81,"q15",1465.184000
"trenz4-3mo-2017-07-25",82,"q02",44663.426000
"trenz4-3mo-2017-07-25",83,"q08",14262.165000
"trenz4-3mo-2017-07-25",84,"q01",139.384000
"trenz4-3mo-2017-07-25",85,"q13",276.119000
"trenz4-3mo-2017-07-25",86,"q11",121.032000
"trenz4-3mo-2017-07-25",87,"q12",94.739000
"trenz4-3mo-2017-07-25",88,"q04",42.011000
"trenz4-3mo-2017-07-25",89,"q06",336.566000
"trenz4-3mo-2017-07-25",90,"q18",129.633000
"trenz4-3mo-2017-07-25",91,"q14",4340.934000
"trenz4-3mo-2017-07-25",92,"q03",88.280000
"trenz4-3mo-2017-07-25",93,"q16",529.542000
"trenz4-3mo-2017-07-25",94,"q05",252.685000
"trenz4-3mo-2017-07-25",95,"q02",43715.114000
"trenz4-3mo-2017-07-25",96,"q01",354.151000
"trenz4-3mo-2017-07-25",97,"q15",1349.959000
"trenz4-3mo-2017-07-25",98,"q08",13437.613000
"trenz4-3mo-2017-07-25",99,"q15",1668.252000
"trenz4-3mo-2017-07-25",100,"q11",79.188000
"trenz4-3mo-2017-07-25",101,"q08",13917.405000
"trenz4-3mo-2017-07-25",102,"q14",4372.483000
"trenz4-3mo-2017-07-25",103,"q04",49.090000
"trenz4-3mo-2017-07-25",104,"q12",127.108000
"trenz4-3mo-2017-07-25",105,"q06",122.662000
"trenz4-3mo-2017-07-25",106,"q13",229.924000
"trenz4-3mo-2017-07-25",107,"q01",144.828000
"trenz4-3mo-2017-07-25",108,"q05",317.968000
"trenz4-3mo-2017-07-25",109,"q02",44596.368000
"trenz4-3mo-2017-07-25",110,"q03",47.327000
"trenz4-3mo-2017-07-25",111,"q18",765.578000
"trenz4-3mo-2017-07-25",112,"q16",467.658000
"trenz4-3mo-2017-07-25",113,"q12",92.803000
"trenz4-3mo-2017-07-25",114,"q06",134.195000
"trenz4-3mo-2017-07-25",115,"q13",456.445000
"trenz4-3mo-2017-07-25",116,"q02",43860.681000
"trenz4-3mo-2017-07-25",117,"q18",140.633000
"trenz4-3mo-2017-07-25",118,"q03",76.706000
"trenz4-3mo-2017-07-25",119,"q04",55.067000
"trenz4-3mo-2017-07-25",120,"q16",243.737000
"trenz4-3mo-2017-07-25",121,"q15",2599.341000
"trenz4-3mo-2017-07-25",122,"q01",147.784000
"trenz4-3mo-2017-07-25",123,"q14",4358.308000
"trenz4-3mo-2017-07-25",124,"q05",87.082000
"trenz4-3mo-2017-07-25",125,"q08",13267.889000
"trenz4-3mo-2017-07-25",126,"q11",98.417000
"trenz4-3mo-2017-07-25",127,"q06",115.591000
"trenz4-3mo-2017-07-25",128,"q13",62.553000
"trenz4-3mo-2017-07-25",129,"q08",13712.215000
"trenz4-3mo-2017-07-25",130,"q03",55.716000
"trenz4-3mo-2017-07-25",131,"q18",132.623000
"trenz4-3mo-2017-07-25",132,"q14",4313.787000
"trenz4-3mo-2017-07-25",133,"q11",143.370000
"trenz4-3mo-2017-07-25",134,"q05",273.148000
"trenz4-3mo-2017-07-25",135,"q01",150.657000
"trenz4-3mo-2017-07-25",136,"q02",43260.241000
"trenz4-3mo-2017-07-25",137,"q04",44.061000
"trenz4-3mo-2017-07-25",138,"q16",187.550000
"trenz4-3mo-2017-07-25",139,"q15",739.618000
"trenz4-3mo-2017-07-25",140,"q12",310.917000
"trenz4-3mo-2017-07-25",141,"q05",764.810000
"trenz4-3mo-2017-07-25",142,"q03",41.547000
"trenz4-3mo-2017-07-25",143,"q11",94.121000
"trenz4-3mo-2017-07-25",144,"q14",4449.649000
"trenz4-3mo-2017-07-25",145,"q12",515.516000
"trenz4-3mo-2017-07-25",146,"q01",128.943000
"trenz4-3mo-2017-07-25",147,"q04",64.351000
"trenz4-3mo-2017-07-25",148,"q02",43869.411000
"trenz4-3mo-2017-07-25",149,"q08",14271.627000
"trenz4-3mo-2017-07-25",150,"q13",253.825000
"trenz4-3mo-2017-07-25",151,"q18",131.363000
"trenz4-3mo-2017-07-25",152,"q06",357.007000
"trenz4-3mo-2017-07-25",153,"q15",932.888000
"trenz4-3mo-2017-07-25",154,"q16",425.995000
"trenz4-3mo-2017-07-25",155,"q02",45869.369000
"trenz4-3mo-2017-07-25",156,"q04",492.441000
"trenz4-3mo-2017-07-25",157,"q14",4753.451000
"trenz4-3mo-2017-07-25",158,"q15",684.016000
"trenz4-3mo-2017-07-25",159,"q05",173.348000
"trenz4-3mo-2017-07-25",160,"q01",345.240000
"trenz4-3mo-2017-07-25",161,"q06",338.131000
"trenz4-3mo-2017-07-25",162,"q03",64.208000
"trenz4-3mo-2017-07-25",163,"q13",254.300000
"trenz4-3mo-2017-07-25",164,"q18",130.518000
