config,seqno,query,duration
"trenzvmbig_12mo_3x",1,"q05",232.368000
"trenzvmbig_12mo_3x",2,"q01",552.037000
"trenzvmbig_12mo_3x",3,"q02",20451.913000
"trenzvmbig_12mo_3x",4,"q12",361.767000
"trenzvmbig_12mo_3x",5,"q16",1098.138000
"trenzvmbig_12mo_3x",6,"q11",104.863000
"trenzvmbig_12mo_3x",7,"q14",1625.565000
"trenzvmbig_12mo_3x",8,"q08",4037.473000
"trenzvmbig_12mo_3x",9,"q04",99.744000
"trenzvmbig_12mo_3x",10,"q18",449.019000
"trenzvmbig_12mo_3x",11,"q03",435.153000
"trenzvmbig_12mo_3x",12,"q06",465.665000
"trenzvmbig_12mo_3x",13,"q13",54.262000
"trenzvmbig_12mo_3x",14,"q15",102.608000
"trenzvmbig_12mo_3x",15,"q06",440.564000
"trenzvmbig_12mo_3x",16,"q05",207.338000
"trenzvmbig_12mo_3x",17,"q01",525.565000
"trenzvmbig_12mo_3x",18,"q14",1541.827000
"trenzvmbig_12mo_3x",19,"q11",110.131000
"trenzvmbig_12mo_3x",20,"q16",931.399000
"trenzvmbig_12mo_3x",21,"q02",20851.405000
"trenzvmbig_12mo_3x",22,"q13",68.565000
"trenzvmbig_12mo_3x",23,"q08",3841.168000
"trenzvmbig_12mo_3x",24,"q18",445.817000
"trenzvmbig_12mo_3x",25,"q15",107.969000
"trenzvmbig_12mo_3x",26,"q12",353.375000
"trenzvmbig_12mo_3x",27,"q04",102.232000
"trenzvmbig_12mo_3x",28,"q03",439.700000
"trenzvmbig_12mo_3x",29,"q18",452.659000
"trenzvmbig_12mo_3x",30,"q03",417.617000
"trenzvmbig_12mo_3x",31,"q05",222.420000
"trenzvmbig_12mo_3x",32,"q08",4307.462000
"trenzvmbig_12mo_3x",33,"q06",472.314000
"trenzvmbig_12mo_3x",34,"q14",1685.607000
"trenzvmbig_12mo_3x",35,"q16",1031.891000
"trenzvmbig_12mo_3x",36,"q01",550.770000
"trenzvmbig_12mo_3x",37,"q04",95.754000
"trenzvmbig_12mo_3x",38,"q11",104.692000
"trenzvmbig_12mo_3x",39,"q12",347.091000
"trenzvmbig_12mo_3x",40,"q15",113.538000
"trenzvmbig_12mo_3x",41,"q13",258.477000
"trenzvmbig_12mo_3x",42,"q02",23895.155000
"trenzvmbig_12mo_3x",43,"q06",3912.876000
"trenzvmbig_12mo_3x",44,"q13",260.236000
"trenzvmbig_12mo_3x",45,"q04",100.167000
"trenzvmbig_12mo_3x",46,"q15",108.356000
"trenzvmbig_12mo_3x",47,"q01",525.394000
"trenzvmbig_12mo_3x",48,"q08",3978.068000
"trenzvmbig_12mo_3x",49,"q03",371.342000
"trenzvmbig_12mo_3x",50,"q16",1003.066000
"trenzvmbig_12mo_3x",51,"q12",352.000000
"trenzvmbig_12mo_3x",52,"q05",212.944000
"trenzvmbig_12mo_3x",53,"q02",25180.710000
"trenzvmbig_12mo_3x",54,"q14",1635.783000
"trenzvmbig_12mo_3x",55,"q18",424.050000
"trenzvmbig_12mo_3x",56,"q11",108.227000
"trenzvmbig_12mo_3x",57,"q06",461.291000
"trenzvmbig_12mo_3x",58,"q16",1042.889000
"trenzvmbig_12mo_3x",59,"q05",217.706000
"trenzvmbig_12mo_3x",60,"q14",1768.140000
"trenzvmbig_12mo_3x",61,"q04",97.311000
"trenzvmbig_12mo_3x",62,"q12",355.146000
"trenzvmbig_12mo_3x",63,"q15",113.216000
"trenzvmbig_12mo_3x",64,"q08",3460.260000
"trenzvmbig_12mo_3x",65,"q18",465.135000
"trenzvmbig_12mo_3x",66,"q11",109.471000
"trenzvmbig_12mo_3x",67,"q02",19141.985000
"trenzvmbig_12mo_3x",68,"q03",440.425000
"trenzvmbig_12mo_3x",69,"q01",539.027000
"trenzvmbig_12mo_3x",70,"q13",58.023000
"trenzvmbig_12mo_3x",71,"q12",367.650000
"trenzvmbig_12mo_3x",72,"q01",541.438000
"trenzvmbig_12mo_3x",73,"q02",23797.368000
"trenzvmbig_12mo_3x",74,"q06",501.160000
"trenzvmbig_12mo_3x",75,"q11",121.521000
"trenzvmbig_12mo_3x",76,"q14",1453.079000
"trenzvmbig_12mo_3x",77,"q03",331.820000
"trenzvmbig_12mo_3x",78,"q18",420.416000
"trenzvmbig_12mo_3x",79,"q16",1003.848000
"trenzvmbig_12mo_3x",80,"q05",214.675000
"trenzvmbig_12mo_3x",81,"q13",56.956000
"trenzvmbig_12mo_3x",82,"q04",96.153000
"trenzvmbig_12mo_3x",83,"q08",3358.730000
"trenzvmbig_12mo_3x",84,"q15",332.051000
"trenzvmbig_12mo_3x",85,"q12",354.805000
"trenzvmbig_12mo_3x",86,"q02",22597.082000
"trenzvmbig_12mo_3x",87,"q03",449.420000
"trenzvmbig_12mo_3x",88,"q16",920.813000
"trenzvmbig_12mo_3x",89,"q18",423.519000
"trenzvmbig_12mo_3x",90,"q11",110.404000
"trenzvmbig_12mo_3x",91,"q01",548.410000
"trenzvmbig_12mo_3x",92,"q05",219.922000
"trenzvmbig_12mo_3x",93,"q06",447.850000
"trenzvmbig_12mo_3x",94,"q14",1589.939000
"trenzvmbig_12mo_3x",95,"q04",98.038000
"trenzvmbig_12mo_3x",96,"q15",107.096000
"trenzvmbig_12mo_3x",97,"q13",55.825000
"trenzvmbig_12mo_3x",98,"q08",3787.585000
"trenzvmbig_12mo_3x",99,"q13",54.126000
"trenzvmbig_12mo_3x",100,"q02",19161.773000
"trenzvmbig_12mo_3x",101,"q08",4053.374000
"trenzvmbig_12mo_3x",102,"q01",549.191000
"trenzvmbig_12mo_3x",103,"q16",867.486000
"trenzvmbig_12mo_3x",104,"q03",430.101000
"trenzvmbig_12mo_3x",105,"q18",402.825000
"trenzvmbig_12mo_3x",106,"q12",357.847000
"trenzvmbig_12mo_3x",107,"q15",126.454000
"trenzvmbig_12mo_3x",108,"q14",1765.789000
"trenzvmbig_12mo_3x",109,"q04",99.484000
"trenzvmbig_12mo_3x",110,"q05",223.399000
"trenzvmbig_12mo_3x",111,"q11",102.004000
"trenzvmbig_12mo_3x",112,"q06",470.617000
"trenzvmbig_12mo_3x",113,"q03",418.487000
