config,seqno,query,duration
"trenzvmbig_3mo_4x",1,"q05",2301.391000
"trenzvmbig_3mo_4x",2,"q01",143.703000
"trenzvmbig_3mo_4x",3,"q02",813.999000
"trenzvmbig_3mo_4x",4,"q12",175.493000
"trenzvmbig_3mo_4x",5,"q16",299.767000
"trenzvmbig_3mo_4x",6,"q11",507.231000
"trenzvmbig_3mo_4x",7,"q14",503.773000
"trenzvmbig_3mo_4x",8,"q08",1202.051000
"trenzvmbig_3mo_4x",9,"q04",49.745000
"trenzvmbig_3mo_4x",10,"q18",107.458000
"trenzvmbig_3mo_4x",11,"q03",74.309000
"trenzvmbig_3mo_4x",12,"q06",173.021000
"trenzvmbig_3mo_4x",13,"q13",58.627000
"trenzvmbig_3mo_4x",14,"q15",129.314000
"trenzvmbig_3mo_4x",15,"q06",172.289000
"trenzvmbig_3mo_4x",16,"q05",110.382000
"trenzvmbig_3mo_4x",17,"q01",135.774000
"trenzvmbig_3mo_4x",18,"q14",473.978000
"trenzvmbig_3mo_4x",19,"q11",95.120000
"trenzvmbig_3mo_4x",20,"q16",289.381000
"trenzvmbig_3mo_4x",21,"q02",817.207000
"trenzvmbig_3mo_4x",22,"q13",60.262000
"trenzvmbig_3mo_4x",23,"q08",1060.494000
"trenzvmbig_3mo_4x",24,"q18",107.349000
"trenzvmbig_3mo_4x",25,"q15",143.460000
"trenzvmbig_3mo_4x",26,"q12",160.387000
"trenzvmbig_3mo_4x",27,"q04",62.370000
"trenzvmbig_3mo_4x",28,"q03",70.712000
"trenzvmbig_3mo_4x",29,"q18",102.786000
"trenzvmbig_3mo_4x",30,"q03",71.437000
"trenzvmbig_3mo_4x",31,"q05",112.428000
"trenzvmbig_3mo_4x",32,"q08",1196.615000
"trenzvmbig_3mo_4x",33,"q06",172.205000
"trenzvmbig_3mo_4x",34,"q14",475.354000
"trenzvmbig_3mo_4x",35,"q16",288.669000
"trenzvmbig_3mo_4x",36,"q01",213.112000
"trenzvmbig_3mo_4x",37,"q04",77.073000
"trenzvmbig_3mo_4x",38,"q11",93.833000
"trenzvmbig_3mo_4x",39,"q12",162.320000
"trenzvmbig_3mo_4x",40,"q15",359.069000
"trenzvmbig_3mo_4x",41,"q13",58.925000
"trenzvmbig_3mo_4x",42,"q02",818.434000
"trenzvmbig_3mo_4x",43,"q06",173.101000
"trenzvmbig_3mo_4x",44,"q13",74.706000
"trenzvmbig_3mo_4x",45,"q04",62.733000
"trenzvmbig_3mo_4x",46,"q15",151.982000
"trenzvmbig_3mo_4x",47,"q01",208.046000
"trenzvmbig_3mo_4x",48,"q08",1042.635000
"trenzvmbig_3mo_4x",49,"q03",76.560000
"trenzvmbig_3mo_4x",50,"q16",269.169000
"trenzvmbig_3mo_4x",51,"q12",172.147000
"trenzvmbig_3mo_4x",52,"q05",114.384000
"trenzvmbig_3mo_4x",53,"q02",820.902000
"trenzvmbig_3mo_4x",54,"q14",499.023000
"trenzvmbig_3mo_4x",55,"q18",115.498000
"trenzvmbig_3mo_4x",56,"q11",92.034000
"trenzvmbig_3mo_4x",57,"q06",165.591000
"trenzvmbig_3mo_4x",58,"q16",268.530000
"trenzvmbig_3mo_4x",59,"q05",108.604000
"trenzvmbig_3mo_4x",60,"q14",454.077000
"trenzvmbig_3mo_4x",61,"q04",77.147000
"trenzvmbig_3mo_4x",62,"q12",179.121000
"trenzvmbig_3mo_4x",63,"q15",158.864000
"trenzvmbig_3mo_4x",64,"q08",1187.279000
"trenzvmbig_3mo_4x",65,"q18",104.689000
"trenzvmbig_3mo_4x",66,"q11",90.244000
"trenzvmbig_3mo_4x",67,"q02",822.881000
"trenzvmbig_3mo_4x",68,"q03",77.683000
"trenzvmbig_3mo_4x",69,"q01",200.654000
"trenzvmbig_3mo_4x",70,"q13",60.275000
"trenzvmbig_3mo_4x",71,"q12",157.159000
"trenzvmbig_3mo_4x",72,"q01",209.664000
"trenzvmbig_3mo_4x",73,"q02",818.847000
"trenzvmbig_3mo_4x",74,"q06",170.545000
"trenzvmbig_3mo_4x",75,"q11",85.917000
"trenzvmbig_3mo_4x",76,"q14",475.292000
"trenzvmbig_3mo_4x",77,"q03",84.544000
"trenzvmbig_3mo_4x",78,"q18",104.043000
"trenzvmbig_3mo_4x",79,"q16",273.889000
"trenzvmbig_3mo_4x",80,"q05",117.696000
"trenzvmbig_3mo_4x",81,"q13",58.469000
"trenzvmbig_3mo_4x",82,"q04",64.894000
"trenzvmbig_3mo_4x",83,"q08",1205.801000
"trenzvmbig_3mo_4x",84,"q15",150.071000
"trenzvmbig_3mo_4x",85,"q12",159.383000
"trenzvmbig_3mo_4x",86,"q02",770.105000
"trenzvmbig_3mo_4x",87,"q03",81.399000
"trenzvmbig_3mo_4x",88,"q16",256.845000
"trenzvmbig_3mo_4x",89,"q18",104.785000
"trenzvmbig_3mo_4x",90,"q11",112.927000
"trenzvmbig_3mo_4x",91,"q01",210.953000
"trenzvmbig_3mo_4x",92,"q05",110.494000
"trenzvmbig_3mo_4x",93,"q06",174.734000
"trenzvmbig_3mo_4x",94,"q14",482.465000
"trenzvmbig_3mo_4x",95,"q04",62.515000
"trenzvmbig_3mo_4x",96,"q15",152.867000
"trenzvmbig_3mo_4x",97,"q13",57.674000
"trenzvmbig_3mo_4x",98,"q08",1171.213000
"trenzvmbig_3mo_4x",99,"q13",74.980000
"trenzvmbig_3mo_4x",100,"q02",821.622000
"trenzvmbig_3mo_4x",101,"q08",1236.327000
"trenzvmbig_3mo_4x",102,"q01",169.364000
"trenzvmbig_3mo_4x",103,"q16",261.184000
"trenzvmbig_3mo_4x",104,"q03",454.643000
"trenzvmbig_3mo_4x",105,"q18",104.678000
"trenzvmbig_3mo_4x",106,"q12",169.363000
"trenzvmbig_3mo_4x",107,"q15",170.191000
"trenzvmbig_3mo_4x",108,"q14",448.563000
"trenzvmbig_3mo_4x",109,"q04",65.990000
"trenzvmbig_3mo_4x",110,"q05",107.116000
"trenzvmbig_3mo_4x",111,"q11",89.044000
"trenzvmbig_3mo_4x",112,"q06",175.013000
"trenzvmbig_3mo_4x",113,"q03",75.475000
"trenzvmbig_3mo_4x",114,"q18",100.753000
"trenzvmbig_3mo_4x",115,"q12",160.346000
"trenzvmbig_3mo_4x",116,"q04",64.214000
"trenzvmbig_3mo_4x",117,"q11",100.852000
"trenzvmbig_3mo_4x",118,"q05",201.930000
"trenzvmbig_3mo_4x",119,"q16",276.373000
"trenzvmbig_3mo_4x",120,"q06",178.188000
"trenzvmbig_3mo_4x",121,"q13",80.460000
"trenzvmbig_3mo_4x",122,"q15",154.190000
"trenzvmbig_3mo_4x",123,"q01",160.277000
"trenzvmbig_3mo_4x",124,"q14",520.376000
"trenzvmbig_3mo_4x",125,"q08",1231.664000
"trenzvmbig_3mo_4x",126,"q02",794.701000
"trenzvmbig_3mo_4x",127,"q18",104.561000
"trenzvmbig_3mo_4x",128,"q12",162.002000
"trenzvmbig_3mo_4x",129,"q08",1166.919000
"trenzvmbig_3mo_4x",130,"q05",104.072000
"trenzvmbig_3mo_4x",131,"q11",112.467000
"trenzvmbig_3mo_4x",132,"q01",202.466000
"trenzvmbig_3mo_4x",133,"q02",775.127000
"trenzvmbig_3mo_4x",134,"q14",493.771000
"trenzvmbig_3mo_4x",135,"q15",343.107000
"trenzvmbig_3mo_4x",136,"q04",62.809000
"trenzvmbig_3mo_4x",137,"q16",250.185000
"trenzvmbig_3mo_4x",138,"q06",177.281000
"trenzvmbig_3mo_4x",139,"q13",69.652000
"trenzvmbig_3mo_4x",140,"q03",88.942000
"trenzvmbig_3mo_4x",141,"q14",554.338000
"trenzvmbig_3mo_4x",142,"q05",109.532000
"trenzvmbig_3mo_4x",143,"q02",782.837000
"trenzvmbig_3mo_4x",144,"q01",233.148000
"trenzvmbig_3mo_4x",145,"q03",75.140000
"trenzvmbig_3mo_4x",146,"q15",139.939000
"trenzvmbig_3mo_4x",147,"q16",264.053000
"trenzvmbig_3mo_4x",148,"q04",62.312000
"trenzvmbig_3mo_4x",149,"q08",1140.516000
"trenzvmbig_3mo_4x",150,"q12",173.427000
