config,seqno,query,duration
"trenzvmbig_3mo_4x_r",1,"q01",237.961000
"trenzvmbig_3mo_4x_r",2,"q01",226.525000
"trenzvmbig_3mo_4x_r",3,"q01",224.431000
"trenzvmbig_3mo_4x_r",4,"q01",207.843000
"trenzvmbig_3mo_4x_r",5,"q01",217.981000
"trenzvmbig_3mo_4x_r",6,"q01",221.824000
"trenzvmbig_3mo_4x_r",7,"q01",144.963000
"trenzvmbig_3mo_4x_r",8,"q01",218.941000
"trenzvmbig_3mo_4x_r",9,"q01",218.542000
"trenzvmbig_3mo_4x_r",10,"q01",211.139000
"trenzvmbig_3mo_4x_r",11,"q01",215.718000
"trenzvmbig_3mo_4x_r",12,"q01",243.216000
"trenzvmbig_3mo_4x_r",13,"q01",209.551000
"trenzvmbig_3mo_4x_r",14,"q01",211.864000
"trenzvmbig_3mo_4x_r",15,"q01",221.273000
"trenzvmbig_3mo_4x_r",16,"q01",221.066000
"trenzvmbig_3mo_4x_r",17,"q01",220.717000
"trenzvmbig_3mo_4x_r",18,"q01",222.875000
"trenzvmbig_3mo_4x_r",19,"q01",219.714000
"trenzvmbig_3mo_4x_r",20,"q01",202.812000
"trenzvmbig_3mo_4x_r",21,"q01",216.736000
"trenzvmbig_3mo_4x_r",22,"q01",214.206000
"trenzvmbig_3mo_4x_r",23,"q01",211.654000
"trenzvmbig_3mo_4x_r",24,"q01",205.671000
"trenzvmbig_3mo_4x_r",25,"q01",211.686000
"trenzvmbig_3mo_4x_r",26,"q01",214.760000
"trenzvmbig_3mo_4x_r",27,"q01",212.746000
"trenzvmbig_3mo_4x_r",28,"q01",202.601000
"trenzvmbig_3mo_4x_r",29,"q01",218.693000
"trenzvmbig_3mo_4x_r",30,"q01",203.030000
"trenzvmbig_3mo_4x_r",31,"q01",204.597000
"trenzvmbig_3mo_4x_r",32,"q01",206.932000
"trenzvmbig_3mo_4x_r",33,"q01",222.087000
"trenzvmbig_3mo_4x_r",34,"q01",204.638000
"trenzvmbig_3mo_4x_r",35,"q01",214.176000
"trenzvmbig_3mo_4x_r",36,"q01",220.221000
"trenzvmbig_3mo_4x_r",37,"q01",225.512000
"trenzvmbig_3mo_4x_r",38,"q01",220.973000
"trenzvmbig_3mo_4x_r",39,"q01",214.321000
"trenzvmbig_3mo_4x_r",40,"q01",213.446000
"trenzvmbig_3mo_4x_r",41,"q01",213.951000
"trenzvmbig_3mo_4x_r",42,"q01",498.872000
"trenzvmbig_3mo_4x_r",43,"q01",237.517000
"trenzvmbig_3mo_4x_r",44,"q01",395.918000
"trenzvmbig_3mo_4x_r",45,"q01",231.409000
"trenzvmbig_3mo_4x_r",46,"q01",274.726000
"trenzvmbig_3mo_4x_r",47,"q01",212.331000
"trenzvmbig_3mo_4x_r",48,"q01",213.798000
"trenzvmbig_3mo_4x_r",49,"q01",221.416000
"trenzvmbig_3mo_4x_r",50,"q01",220.168000
"trenzvmbig_3mo_4x_r",51,"q01",216.144000
"trenzvmbig_3mo_4x_r",52,"q01",226.479000
"trenzvmbig_3mo_4x_r",53,"q01",213.613000
"trenzvmbig_3mo_4x_r",54,"q01",216.068000
"trenzvmbig_3mo_4x_r",55,"q01",142.891000
"trenzvmbig_3mo_4x_r",56,"q01",204.397000
"trenzvmbig_3mo_4x_r",57,"q01",228.266000
"trenzvmbig_3mo_4x_r",58,"q01",204.605000
"trenzvmbig_3mo_4x_r",59,"q01",141.909000
"trenzvmbig_3mo_4x_r",60,"q01",202.619000
"trenzvmbig_3mo_4x_r",61,"q01",203.824000
"trenzvmbig_3mo_4x_r",62,"q01",208.262000
"trenzvmbig_3mo_4x_r",63,"q01",216.213000
"trenzvmbig_3mo_4x_r",64,"q01",205.783000
"trenzvmbig_3mo_4x_r",65,"q01",204.483000
"trenzvmbig_3mo_4x_r",66,"q01",206.611000
"trenzvmbig_3mo_4x_r",67,"q01",206.811000
"trenzvmbig_3mo_4x_r",68,"q01",217.740000
"trenzvmbig_3mo_4x_r",69,"q01",217.851000
"trenzvmbig_3mo_4x_r",70,"q01",232.661000
"trenzvmbig_3mo_4x_r",71,"q01",226.613000
"trenzvmbig_3mo_4x_r",72,"q01",203.762000
"trenzvmbig_3mo_4x_r",73,"q01",213.653000
"trenzvmbig_3mo_4x_r",74,"q01",215.812000
"trenzvmbig_3mo_4x_r",75,"q01",215.823000
"trenzvmbig_3mo_4x_r",76,"q01",206.454000
"trenzvmbig_3mo_4x_r",77,"q01",228.118000
"trenzvmbig_3mo_4x_r",78,"q01",201.543000
"trenzvmbig_3mo_4x_r",79,"q01",212.949000
"trenzvmbig_3mo_4x_r",80,"q01",203.957000
"trenzvmbig_3mo_4x_r",81,"q01",214.564000
"trenzvmbig_3mo_4x_r",82,"q01",220.977000
"trenzvmbig_3mo_4x_r",83,"q01",203.487000
"trenzvmbig_3mo_4x_r",84,"q01",205.655000
"trenzvmbig_3mo_4x_r",85,"q01",218.935000
"trenzvmbig_3mo_4x_r",86,"q01",214.071000
"trenzvmbig_3mo_4x_r",87,"q01",215.513000
"trenzvmbig_3mo_4x_r",88,"q01",210.452000
"trenzvmbig_3mo_4x_r",89,"q01",213.752000
"trenzvmbig_3mo_4x_r",90,"q01",205.325000
"trenzvmbig_3mo_4x_r",91,"q01",228.667000
"trenzvmbig_3mo_4x_r",92,"q01",213.547000
"trenzvmbig_3mo_4x_r",93,"q01",213.417000
"trenzvmbig_3mo_4x_r",94,"q01",204.997000
"trenzvmbig_3mo_4x_r",95,"q01",214.381000
"trenzvmbig_3mo_4x_r",96,"q01",205.086000
"trenzvmbig_3mo_4x_r",97,"q01",220.593000
"trenzvmbig_3mo_4x_r",98,"q01",204.219000
"trenzvmbig_3mo_4x_r",99,"q01",216.471000
"trenzvmbig_3mo_4x_r",100,"q01",207.057000
"trenzvmbig_3mo_4x_r",101,"q01",216.343000
"trenzvmbig_3mo_4x_r",102,"q01",207.583000
"trenzvmbig_3mo_4x_r",103,"q01",211.517000
"trenzvmbig_3mo_4x_r",104,"q01",224.256000
"trenzvmbig_3mo_4x_r",105,"q02",781.736000
"trenzvmbig_3mo_4x_r",106,"q02",911.809000
"trenzvmbig_3mo_4x_r",107,"q02",787.237000
"trenzvmbig_3mo_4x_r",108,"q02",780.592000
"trenzvmbig_3mo_4x_r",109,"q02",774.522000
"trenzvmbig_3mo_4x_r",110,"q02",781.887000
"trenzvmbig_3mo_4x_r",111,"q02",769.134000
"trenzvmbig_3mo_4x_r",112,"q02",776.089000
"trenzvmbig_3mo_4x_r",113,"q02",781.241000
"trenzvmbig_3mo_4x_r",114,"q02",784.578000
"trenzvmbig_3mo_4x_r",115,"q02",781.536000
"trenzvmbig_3mo_4x_r",116,"q02",789.346000
"trenzvmbig_3mo_4x_r",117,"q02",802.955000
"trenzvmbig_3mo_4x_r",118,"q02",791.360000
"trenzvmbig_3mo_4x_r",119,"q02",795.246000
"trenzvmbig_3mo_4x_r",120,"q02",794.480000
"trenzvmbig_3mo_4x_r",121,"q02",772.296000
"trenzvmbig_3mo_4x_r",122,"q02",788.973000
"trenzvmbig_3mo_4x_r",123,"q02",781.089000
"trenzvmbig_3mo_4x_r",124,"q02",879.208000
"trenzvmbig_3mo_4x_r",125,"q02",825.865000
"trenzvmbig_3mo_4x_r",126,"q02",836.886000
"trenzvmbig_3mo_4x_r",127,"q02",830.638000
"trenzvmbig_3mo_4x_r",128,"q02",826.007000
"trenzvmbig_3mo_4x_r",129,"q02",828.029000
"trenzvmbig_3mo_4x_r",130,"q02",1011.919000
"trenzvmbig_3mo_4x_r",131,"q02",788.588000
"trenzvmbig_3mo_4x_r",132,"q02",809.392000
"trenzvmbig_3mo_4x_r",133,"q02",789.055000
"trenzvmbig_3mo_4x_r",134,"q02",783.256000
"trenzvmbig_3mo_4x_r",135,"q02",812.313000
"trenzvmbig_3mo_4x_r",136,"q03",83.126000
"trenzvmbig_3mo_4x_r",137,"q03",53.160000
"trenzvmbig_3mo_4x_r",138,"q03",75.609000
"trenzvmbig_3mo_4x_r",139,"q03",74.797000
"trenzvmbig_3mo_4x_r",140,"q03",57.435000
"trenzvmbig_3mo_4x_r",141,"q03",76.109000
"trenzvmbig_3mo_4x_r",142,"q03",73.938000
"trenzvmbig_3mo_4x_r",143,"q03",76.442000
"trenzvmbig_3mo_4x_r",144,"q03",90.747000
"trenzvmbig_3mo_4x_r",145,"q03",75.184000
"trenzvmbig_3mo_4x_r",146,"q03",54.720000
"trenzvmbig_3mo_4x_r",147,"q03",73.116000
"trenzvmbig_3mo_4x_r",148,"q03",79.854000
"trenzvmbig_3mo_4x_r",149,"q03",74.719000
"trenzvmbig_3mo_4x_r",150,"q03",80.074000
"trenzvmbig_3mo_4x_r",151,"q03",74.236000
"trenzvmbig_3mo_4x_r",152,"q03",85.838000
"trenzvmbig_3mo_4x_r",153,"q03",72.639000
"trenzvmbig_3mo_4x_r",154,"q03",279.310000
"trenzvmbig_3mo_4x_r",155,"q03",74.373000
"trenzvmbig_3mo_4x_r",156,"q03",1074.608000
"trenzvmbig_3mo_4x_r",157,"q03",76.001000
"trenzvmbig_3mo_4x_r",158,"q03",74.659000
"trenzvmbig_3mo_4x_r",159,"q03",83.973000
"trenzvmbig_3mo_4x_r",160,"q03",72.469000
"trenzvmbig_3mo_4x_r",161,"q03",73.366000
"trenzvmbig_3mo_4x_r",162,"q03",73.325000
"trenzvmbig_3mo_4x_r",163,"q03",77.508000
"trenzvmbig_3mo_4x_r",164,"q03",282.984000
"trenzvmbig_3mo_4x_r",165,"q03",80.765000
"trenzvmbig_3mo_4x_r",166,"q03",73.206000
"trenzvmbig_3mo_4x_r",167,"q03",71.482000
"trenzvmbig_3mo_4x_r",168,"q03",80.534000
"trenzvmbig_3mo_4x_r",169,"q03",71.683000
"trenzvmbig_3mo_4x_r",170,"q03",70.412000
"trenzvmbig_3mo_4x_r",171,"q03",73.839000
"trenzvmbig_3mo_4x_r",172,"q03",78.634000
"trenzvmbig_3mo_4x_r",173,"q03",75.813000
"trenzvmbig_3mo_4x_r",174,"q03",71.486000
"trenzvmbig_3mo_4x_r",175,"q03",70.508000
"trenzvmbig_3mo_4x_r",176,"q03",93.144000
"trenzvmbig_3mo_4x_r",177,"q03",88.788000
"trenzvmbig_3mo_4x_r",178,"q03",67.864000
"trenzvmbig_3mo_4x_r",179,"q03",74.872000
"trenzvmbig_3mo_4x_r",180,"q03",72.933000
"trenzvmbig_3mo_4x_r",181,"q03",74.504000
"trenzvmbig_3mo_4x_r",182,"q03",71.932000
"trenzvmbig_3mo_4x_r",183,"q03",276.306000
"trenzvmbig_3mo_4x_r",184,"q03",83.517000
"trenzvmbig_3mo_4x_r",185,"q03",69.146000
"trenzvmbig_3mo_4x_r",186,"q03",72.205000
"trenzvmbig_3mo_4x_r",187,"q03",70.226000
"trenzvmbig_3mo_4x_r",188,"q03",85.795000
"trenzvmbig_3mo_4x_r",189,"q03",70.556000
"trenzvmbig_3mo_4x_r",190,"q03",71.949000
"trenzvmbig_3mo_4x_r",191,"q03",75.345000
"trenzvmbig_3mo_4x_r",192,"q03",70.007000
"trenzvmbig_3mo_4x_r",193,"q03",80.194000
"trenzvmbig_3mo_4x_r",194,"q03",71.519000
"trenzvmbig_3mo_4x_r",195,"q03",81.201000
"trenzvmbig_3mo_4x_r",196,"q03",73.525000
"trenzvmbig_3mo_4x_r",197,"q03",69.957000
"trenzvmbig_3mo_4x_r",198,"q03",71.409000
"trenzvmbig_3mo_4x_r",199,"q03",75.256000
"trenzvmbig_3mo_4x_r",200,"q03",91.409000
"trenzvmbig_3mo_4x_r",201,"q03",73.145000
"trenzvmbig_3mo_4x_r",202,"q03",84.871000
"trenzvmbig_3mo_4x_r",203,"q03",70.582000
"trenzvmbig_3mo_4x_r",204,"q03",73.908000
"trenzvmbig_3mo_4x_r",205,"q03",72.934000
"trenzvmbig_3mo_4x_r",206,"q03",73.601000
"trenzvmbig_3mo_4x_r",207,"q03",72.793000
"trenzvmbig_3mo_4x_r",208,"q03",72.562000
"trenzvmbig_3mo_4x_r",209,"q03",81.665000
"trenzvmbig_3mo_4x_r",210,"q03",72.134000
"trenzvmbig_3mo_4x_r",211,"q03",70.310000
"trenzvmbig_3mo_4x_r",212,"q03",74.579000
"trenzvmbig_3mo_4x_r",213,"q03",80.145000
"trenzvmbig_3mo_4x_r",214,"q03",307.088000
"trenzvmbig_3mo_4x_r",215,"q03",91.173000
"trenzvmbig_3mo_4x_r",216,"q03",74.471000
"trenzvmbig_3mo_4x_r",217,"q03",69.922000
"trenzvmbig_3mo_4x_r",218,"q03",84.114000
"trenzvmbig_3mo_4x_r",219,"q03",79.857000
"trenzvmbig_3mo_4x_r",220,"q03",379.009000
"trenzvmbig_3mo_4x_r",221,"q03",347.084000
"trenzvmbig_3mo_4x_r",222,"q03",75.164000
"trenzvmbig_3mo_4x_r",223,"q03",71.486000
"trenzvmbig_3mo_4x_r",224,"q03",72.539000
