BLI,-8.28,20.25
IMT,-8.07,27.96
LWS,-7.09,16.49
ADK,-7.05,21.10
AZA,-6.36,15.09
VEL,-5.43,15.66
BTM,-4.98,18.34
INL,-4.77,30.98
DRT,-4.30,34.26
CNY,-4.06,16.65
WYS,-3.61,15.73
EKO,-3.10,19.48
PIH,-2.03,20.03
YAK,-2.01,28.40
SUN,-1.37,19.99
FLG,-1.17,19.29
SHD,-1.06,9.13
PMD,-1.05,31.74
ADQ,-0.50,22.29
TWF,-0.47,23.90
HIB,-0.42,20.59
BJI,-0.41,21.95
AKN,-0.36,11.01
SMX,0.00,21.06
PUB,0.00,
MVY,0.04,31.71
ILE,0.06,14.08
RHI,0.08,25.62
ANC,0.28,29.88
BRD,0.31,27.99
ABR,0.60,20.72
FAI,0.64,23.06
IYK,0.84,24.71
APN,1.02,31.81
YUM,1.04,21.99
SLC,1.19,31.17
LAR,1.28,41.46
FCA,1.30,25.68
RKS,1.49,28.30
BZN,1.73,28.98
GST,1.84,20.51
JNU,1.90,30.10
ITO,1.91,21.72
GCC,1.93,33.88
BET,1.96,21.86
LGB,1.96,30.92
GTF,2.02,27.11
LCH,2.04,30.75
HLN,2.06,28.32
IDA,2.08,25.25
OXR,2.18,22.98
CDV,2.18,32.74
GFK,2.27,25.68
BIL,2.35,26.34
PHX,2.38,29.69
ORH,2.48,39.48
PSG,2.51,30.54
SNA,2.58,24.64
LMT,2.62,31.76
SIT,2.75,32.01
ESC,2.77,31.02
WRG,2.77,33.24
KTN,2.79,29.38
ITH,2.84,27.57
CPR,2.87,28.52
PLN,2.88,28.88
EYW,2.92,37.52
LSE,3.02,25.23
DTW,3.11,40.67
IPL,3.12,16.84
MSP,3.19,40.03
MSO,3.28,28.30
LIH,3.41,27.43
SEA,3.44,32.41
OGG,3.53,32.30
SGU,3.75,18.84
RST,3.84,25.13
ACK,3.97,28.46
HDN,4.06,30.32
OTZ,4.12,26.47
MEM,4.16,36.18
PSC,4.16,30.13
CVG,4.39,37.48
DUT,4.41,17.72
MMH,4.46,31.91
CLT,4.60,31.99
TYR,4.61,29.25
ERI,4.64,27.17
KOA,4.64,32.15
PDX,4.64,32.30
IAH,4.73,39.20
MIA,4.79,45.69
CDC,4.85,18.43
SCC,4.86,35.73
BUR,4.89,25.24
DAB,5.01,32.82
OME,5.03,28.17
YKM,5.05,16.01
GJT,5.14,29.28
SJC,5.18,28.78
LAS,5.20,31.67
SRQ,5.22,35.67
DLG,5.38,24.69
ISN,5.41,39.12
CLD,5.47,27.72
STT,5.57,40.98
LAX,5.58,36.68
BGM,5.63,29.02
HRL,5.64,27.97
OAK,5.64,27.99
GEG,5.66,27.98
SAN,5.68,30.98
MBS,5.69,31.20
CLL,5.69,31.28
HNL,5.74,40.84
DCA,5.85,34.34
ONT,5.90,27.97
SBA,5.91,31.08
DLH,5.91,31.46
PIT,5.92,33.71
STL,5.96,33.65
BKG,5.97,26.17
BOS,6.03,37.87
DFW,6.05,46.83
SMF,6.05,29.28
TUS,6.07,30.36
MSY,6.09,33.25
HOU,6.10,30.53
MLB,6.19,33.55
RNO,6.22,28.86
PSP,6.26,31.71
RSW,6.27,35.56
MRY,6.28,30.67
SBP,6.29,33.21
RDM,6.37,34.22
AZO,6.40,32.85
BWI,6.44,34.07
BIS,6.44,29.66
EAU,6.56,31.47
RAP,6.56,31.59
FSM,6.64,29.29
LFT,6.68,32.63
BOI,6.77,32.72
BRW,6.81,33.85
EUG,6.82,32.96
COD,6.85,32.33
FAT,6.88,34.05
SPI,6.89,28.83
BFL,6.91,32.80
CIU,6.94,34.21
RDU,6.98,35.32
LWB,7.02,31.34
SJT,7.09,29.57
SAT,7.15,32.22
DHN,7.15,33.27
MFR,7.20,37.30
TPA,7.22,35.90
AUS,7.23,33.64
MCO,7.25,38.27
JAC,7.30,37.13
SCE,7.31,37.76
FNT,7.35,36.86
ABQ,7.36,30.44
STX,7.37,35.45
PAH,7.41,33.13
MLU,7.46,36.80
DBQ,7.47,28.25
CLE,7.50,38.76
MDW,7.51,34.97
BGR,7.51,35.86
JAN,7.53,32.72
LRD,7.60,33.08
DRO,7.62,30.92
VLD,7.63,35.00
ATL,7.67,42.10
DAL,7.67,30.89
TRI,7.69,33.73
IND,7.70,35.80
