ABE <-> ATL,1232,1212
ABE <-> AVL,,1
ABE <-> AVP,1,
ABE <-> CLT,686,715
ABE <-> DAY,1,
ABE <-> DTW,870,384
ABE <-> FLL,194,
ABE <-> IAD,,227
ABE <-> JAX,,1
ABE <-> MCO,864,1022
ABE <-> ORD,4400,2314
ABI <-> DFW,4966,4893
ABQ <-> ATL,1933,1841
ABQ <-> BWI,1159,1179
ABQ <-> DAL,5469,5432
ABQ <-> DEN,5851,5799
ABQ <-> DFW,5747,5510
ABQ <-> ELP,1210,1224
ABQ <-> EWR,2,2
ABQ <-> GJT,1,
ABQ <-> HOU,2003,2023
ABQ <-> IAD,728,728
ABQ <-> IAH,3826,3094
ABQ <-> LAS,3898,3848
ABQ <-> LAX,5579,6452
ABQ <-> LBB,728,671
ABQ <-> MAF,728,672
ABQ <-> MCI,847,745
ABQ <-> MCO,752,672
ABQ <-> MDW,1449,1451
ABQ <-> MSP,1103,1050
ABQ <-> OAK,1846,1858
ABQ <-> ORD,1651,1590
ABQ <-> PDX,728,662
ABQ <-> PHX,9737,9308
ABQ <-> SAN,1772,1746
ABQ <-> SEA,1436,1326
ABQ <-> SFO,754,1121
ABQ <-> SLC,4147,2879
ABQ <-> STL,727,732
ABQ <-> TUS,1411,1392
ABR <-> MSP,10,747
ABY <-> ATL,2012,1998
ACK <-> BOS,,222
ACK <-> JFK,478,468
ACT <-> DFW,831,1956
ACT <-> IAH,,374
ACV <-> CEC,619,633
ACV <-> CIC,,1
ACV <-> RDD,3,
ACV <-> SFO,4720,4968
ACV <-> SMF,1224,1266
ACY <-> ATL,1450,469
ADK <-> ANC,206,210
ADQ <-> ANC,1340,1344
AEX <-> ATL,3090,2844
AEX <-> DFW,2174,2496
AEX <-> GSO,1,
AEX <-> IAH,1432,1697
AEX <-> MEM,198,
AGS <-> ATL,6531,5969
AGS <-> CLT,48,56
AGS <-> DFW,1450,539
AGS <-> IAH,1,1
AGS <-> LGA,,3
AKN <-> ANC,168,168
ALB <-> ATL,1624,1742
ALB <-> BTV,1,
ALB <-> BWI,3854,3846
ALB <-> CLE,1985,2232
ALB <-> CLT,1408,1456
ALB <-> DTW,876,31
ALB <-> EWR,168,376
ALB <-> FLL,728,730
ALB <-> IAD,1890,403
ALB <-> JFK,222,
ALB <-> LAS,727,732
ALB <-> MCO,1729,1618
ALB <-> MDW,1440,1447
ALB <-> MSP,185,233
ALB <-> ORD,3084,2472
ALB <-> TPA,742,742
ALO <-> ORD,,605
AMA <-> DAL,4010,4014
AMA <-> DEN,2030,2725
AMA <-> DFW,3546,4618
AMA <-> IAH,2588,2434
AMA <-> LAS,728,732
AMA <-> LBB,,1
AMA <-> MEM,570,
AMA <-> SHV,1,
ANC <-> BET,2058,1984
ANC <-> BRW,462,465
ANC <-> CDV,720,725
ANC <-> DEN,629,758
ANC <-> DFW,304,288
ANC <-> DLG,168,168
ANC <-> DTW,136,
ANC <-> FAI,5299,5245
ANC <-> HNL,624,712
ANC <-> IAH,243,250
ANC <-> JNU,2281,2230
ANC <-> LAX,386,396
ANC <-> LGB,212,206
ANC <-> MSP,1492,1491
ANC <-> OGG,126,134
ANC <-> OME,1125,1093
