DFW,701.00,692.00,IND,116.00,133.00,PHX
SNA,621.00,624.00,DEN,132.00,186.00,OGG
SNA,621.00,624.00,DEN,79.50,75.00,SBA
SNA,621.00,624.00,DEN,74.00,67.00,JAC
SNA,621.00,624.00,DEN,65.00,76.00,RSW
SNA,621.00,624.00,DEN,61.00,70.00,LBB
SNA,621.00,624.00,DEN,24.00,16.00,SDF
COU,615.00,663.00,DFW,644.00,636.00,IND
COU,615.00,663.00,DFW,190.00,204.00,MSY
COU,615.00,663.00,DFW,157.00,139.00,CLE
COU,615.00,663.00,DFW,128.00,141.00,SEA
COU,615.00,663.00,DFW,105.00,76.00,PHL
COU,615.00,663.00,DFW,89.00,65.00,LGA
COU,615.00,663.00,DFW,80.00,78.00,ELP
COU,615.00,663.00,DFW,78.00,66.00,BWI
COU,615.00,663.00,DFW,76.00,83.00,ABQ
COU,615.00,663.00,DFW,76.00,71.50,MCO
COU,615.00,663.00,DFW,66.50,57.75,IAH
COU,615.00,663.00,DFW,65.00,59.50,SFO
COU,615.00,663.00,DFW,65.00,55.00,AEX
COU,615.00,663.00,DFW,64.00,66.00,LFT
COU,615.00,663.00,DFW,61.00,76.00,GRK
COU,615.00,663.00,DFW,60.00,53.00,RAP
COU,615.00,663.00,DFW,59.00,68.00,COU
COU,615.00,663.00,DFW,59.00,59.50,TXK
COU,615.00,663.00,DFW,58.00,67.00,DEN
COU,615.00,663.00,DFW,57.50,60.50,TUS
COU,615.00,663.00,DFW,57.00,65.00,LAS
COU,615.00,663.00,DFW,56.50,50.00,CLL
COU,615.00,663.00,DFW,54.00,53.50,MHK
COU,615.00,663.00,DFW,53.50,48.00,OKC
COU,615.00,663.00,DFW,52.50,50.00,ABI
COU,615.00,663.00,DFW,52.00,67.50,ROW
COU,615.00,663.00,DFW,52.00,62.00,COS
COU,615.00,663.00,DFW,52.00,51.00,DAY
COU,615.00,663.00,DFW,51.00,56.50,SGF
COU,615.00,663.00,DFW,51.00,45.00,SHV
COU,615.00,663.00,DFW,50.00,72.00,OGG
COU,615.00,663.00,DFW,50.00,25.00,IAD
COU,615.00,663.00,DFW,49.20,42.60,ATL
COU,615.00,663.00,DFW,49.00,62.00,SAF
COU,615.00,663.00,DFW,48.00,48.50,LAX
COU,615.00,663.00,DFW,47.67,37.33,MSP
COU,615.00,663.00,DFW,46.00,45.00,ICT
COU,615.00,663.00,DFW,45.50,37.50,CHS
COU,615.00,663.00,DFW,44.00,60.00,EWR
COU,615.00,663.00,DFW,44.00,50.00,SAN
COU,615.00,663.00,DFW,44.00,33.00,MKE
COU,615.00,663.00,DFW,44.00,33.00,MLI
COU,615.00,663.00,DFW,44.00,17.00,DCA
