MWH,-12.27,17.58
IMT,-6.79,30.85
DRT,-6.18,30.76
VEL,-5.43,15.66
MKK,-4.57,16.24
CNY,-4.06,16.65
INL,-3.87,30.35
LNY,-2.98,6.56
HIB,-1.45,25.50
BJI,-0.93,22.10
IYK,-0.82,16.54
APN,-0.78,31.00
ABR,-0.59,21.47
LAR,-0.27,38.45
WYS,-0.21,18.36
SMX,-0.02,18.59
LBF,0.00,
FMN,0.00,0.00
BFI,0.00,
BFF,0.00,0.00
OGD,0.00,0.00
CBM,0.00,
SKA,0.00,
RCA,0.00,
BRD,0.11,26.87
LWS,0.12,22.03
PMD,0.34,21.01
ROP,0.51,19.35
PIH,0.62,21.44
OXR,0.70,17.28
ITO,0.78,16.57
UTM,0.87,25.27
LIH,0.89,23.38
RHI,0.97,27.53
PUB,1.15,16.88
SUN,1.27,19.62
FLG,1.32,21.31
EKO,1.37,21.43
MIB,1.42,15.11
SHD,1.68,30.99
BKG,1.76,25.55
KOA,1.78,27.55
BLI,1.83,21.87
ESC,1.84,33.95
VCT,1.94,21.00
OGG,1.96,29.73
BTM,2.03,21.46
MVY,2.12,42.81
CDC,2.16,19.68
VIS,2.22,11.62
TWF,2.47,23.87
GLH,2.50,0.71
YUM,2.52,22.64
TEX,2.61,24.72
CLD,2.65,20.43
CCR,2.67,15.88
SCK,2.68,19.27
MMH,2.85,28.18
SCE,2.86,28.58
IPL,2.96,22.01
CYS,2.97,26.20
TVL,3.01,17.04
CPR,3.08,24.03
GCC,3.17,31.51
HTS,3.19,18.93
ILE,3.20,23.82
HLN,3.21,23.58
ACT,3.23,25.34
SPN,3.27,22.24
RKS,3.31,27.92
PIE,3.32,28.14
CLL,3.36,26.81
EFD,3.41,17.10
COD,3.42,27.10
TYR,3.42,24.93
AZA,3.45,27.53
SGU,3.49,22.71
LGB,3.54,27.45
EAU,3.57,28.02
MEM,3.58,29.83
IDA,3.59,22.52
SPS,3.70,25.03
GJT,3.80,27.43
LAW,3.86,27.49
BPT,3.89,26.82
GTF,3.92,24.10
MSO,3.94,25.74
MSP,3.96,34.94
GUM,3.98,46.28
SNA,3.99,22.98
MOT,4.07,27.80
LWB,4.13,31.25
HNL,4.15,36.24
SLC,4.19,26.94
FCA,4.23,26.62
LCH,4.24,31.32
DLH,4.25,28.23
SJT,4.26,26.32
RDM,4.28,27.08
GCN,4.29,12.65
SBP,4.31,26.91
BIS,4.41,27.34
DTW,4.43,34.78
CVG,4.45,28.51
PAH,4.46,32.22
GGG,4.46,24.85
MRY,4.53,25.15
SBA,4.54,26.59
CLT,4.55,26.11
TXK,4.60,26.95
SJC,4.63,24.66
PSC,4.64,25.21
BFL,4.68,27.87
PHX,4.82,27.89
ADK,4.82,31.76
RAP,4.84,28.81
LSE,4.86,27.79
GFK,4.87,28.71
GCK,4.89,29.25
MDW,4.90,29.06
BZN,4.91,26.07
JLN,4.93,27.59
CIU,4.95,40.88
