LFT,-3.79,18.14
MOT,-0.47,22.22
MFE,-0.42,20.60
RFD,0.00,
GJT,0.19,20.58
ATW,0.80,18.77
BIS,2.19,21.08
CPR,2.34,13.70
DAL,2.40,15.55
PFN,2.42,18.84
EAU,2.79,15.62
LSE,2.98,19.74
YKM,2.99,16.80
PUB,3.08,15.20
KOA,3.18,21.87
LIH,3.23,25.66
CRP,3.24,21.48
PIE,3.47,20.01
HRL,3.52,20.07
COS,3.56,20.60
SCK,3.59,20.61
CCR,3.68,15.49
MAF,3.74,17.02
OGG,3.80,24.98
MSO,3.84,21.44
PIA,3.94,20.61
BIL,4.00,19.42
SGF,4.01,24.28
BNA,4.08,19.72
BFL,4.29,22.77
RDU,4.31,20.70
LBB,4.33,16.88
ELP,4.36,19.62
GTF,4.38,18.78
SJC,4.46,17.97
CHA,4.58,17.70
MLI,4.67,18.93
TVL,4.68,19.06
BUR,4.71,18.33
BZN,4.74,20.88
AUS,4.76,21.88
GCN,4.77,12.64
AMA,4.79,19.83
HNL,4.86,33.57
YUM,4.95,14.36
HOU,4.95,19.94
SNA,4.98,18.80
HSV,5.00,22.39
ABQ,5.00,19.64
VPS,5.02,20.67
DFW,5.07,21.82
FLG,5.14,13.75
IAD,5.16,24.06
MRY,5.17,19.47
MOB,5.23,20.38
SAT,5.24,22.18
SUX,5.36,22.01
OKC,5.37,20.61
ICT,5.43,22.30
RDM,5.44,18.12
BLI,5.49,16.60
APF,5.52,11.63
FAR,5.52,24.80
OMA,5.52,21.83
LAS,5.56,20.07
TUL,5.58,21.28
BTR,5.62,21.53
BTM,5.63,19.93
MEM,5.68,19.02
GPT,5.69,21.15
ORH,5.69,20.96
CID,5.70,19.43
SLC,5.70,20.07
JAN,5.71,19.79
RAP,5.74,21.03
IAH,5.77,24.04
ONT,5.79,21.18
SJU,5.82,29.62
JAC,5.94,30.41
SAV,5.97,22.20
OAK,5.98,19.78
ATL,6.05,22.11
PHX,6.05,20.31
IDA,6.06,18.73
BHM,6.09,20.23
MLB,6.15,25.28
GNV,6.17,21.74
SMF,6.17,21.03
ISO,6.18,17.39
PNS,6.24,22.02
TUS,6.25,22.26
DAB,6.26,23.62
MSP,6.26,23.29
MGM,6.28,17.39
ALO,6.32,12.71
LIT,6.32,20.83
FAT,6.38,21.61
LAX,6.40,24.60
FSD,6.43,23.00
HLN,6.47,15.04
GUM,6.47,57.07
STL,6.49,23.17
DRO,6.56,13.59
GRB,6.57,21.03
MKE,6.58,23.12
STX,6.63,28.14
MSN,6.68,24.57
DSM,6.68,22.13
GSP,6.69,21.24
SCC,6.73,24.82
LNK,6.75,23.65
MSY,6.76,23.24
DLH,6.77,23.35
SRQ,6.78,24.39
ITH,6.82,17.03
CSG,6.82,17.49
SHV,6.98,19.46
LGB,7.00,19.59
CWA,7.02,26.38
PSC,7.09,21.25
LEX,7.16,21.29
MCI,7.20,23.83
DTW,7.22,23.86
RNO,7.24,20.83
SPN,7.28,30.03
GEG,7.35,22.37
CVG,7.35,20.02
BTV,7.42,26.93
HDN,7.46,26.04
MLU,7.46,22.82
AGS,7.47,18.59
TLH,7.53,21.41
SAN,7.60,22.53
STT,7.61,39.22
BOI,7.62,23.10
BGM,7.63,18.49
DEN,7.64,28.30
CLE,7.65,23.50
BDL,7.66,25.16
PSP,7.69,22.93
RST,7.69,23.22
LAN,7.69,23.04
IND,7.71,23.98
BET,7.71,22.71
DCA,7.74,21.58
GFK,7.75,18.69
MHT,7.75,24.56
OME,7.78,21.06
HTS,7.81,18.02
BOS,7.83,27.42
TYS,7.84,20.44
SBA,7.93,24.12
FWA,7.93,25.88
MDW,7.97,22.19
PDX,7.97,23.55
SDF,8.09,22.83
JAX,8.11,23.83
TPA,8.12,26.38
SYR,8.16,24.59
HPN,8.23,22.08
CHO,8.26,22.21
AZO,8.27,19.11
CMH,8.31,24.43
CHS,8.37,22.32
PWM,8.38,25.28
TOL,8.39,18.96
OTZ,8.39,20.67
MIA,8.40,28.13
FCA,8.42,23.66
EYW,8.43,20.29
PHF,8.43,19.52
ABE,8.49,21.34
SEA,8.60,25.33
RSW,8.66,26.16
SBN,8.72,19.98
PIT,8.77,22.43
BUF,8.77,25.23
WRG,8.81,26.67
MBS,8.85,23.64
MFR,8.88,23.27
DET,8.90,22.06
ELM,8.91,18.97
PBI,8.92,27.75
AVP,8.93,24.60
PVD,8.94,26.52
ISP,9.04,22.80
BWI,9.05,23.64
CAE,9.09,23.77
MCO,9.10,25.67
ILM,9.12,24.36
OAJ,9.14,21.69
JFK,9.14,29.55
ROC,9.14,24.89
